Card Name,Manual Embed URL,Secure Embed URL,Category,Role Access,Description
Revenue Analytics Dashboard,https://lookerstudio.google.com/embed/reporting/1a2b3c4d5e6f/page/revenue,https://lookerstudio.google.com/embed/reporting/1a2b3c4d5e6f/page/revenue?config=secure,financials,"partner,senior-manager,admin",Real-time revenue tracking and analysis by practice area
Client Engagement Metrics,https://lookerstudio.google.com/embed/reporting/2b3c4d5e6f7g/page/client,https://lookerstudio.google.com/embed/reporting/2b3c4d5e6f7g/page/client?config=secure,client_relations,"partner,senior-manager,associate,admin",Client satisfaction and engagement tracking
Active Matters Overview,https://lookerstudio.google.com/embed/reporting/3c4d5e6f7g8h/page/matters,https://lookerstudio.google.com/embed/reporting/3c4d5e6f7g8h/page/matters?config=secure,operations,"partner,senior-manager,associate,paralegal,admin",Real-time view of active legal matters and their status
Fee Earner Performance,https://lookerstudio.google.com/embed/reporting/4d5e6f7g8h9i/page/performance,https://lookerstudio.google.com/embed/reporting/4d5e6f7g8h9i/page/performance?config=secure,hr_analytics,"partner,admin",Individual and team performance metrics for fee earners
Time & Billing Analytics,https://lookerstudio.google.com/embed/reporting/5e6f7g8h9i0j/page/billing,https://lookerstudio.google.com/embed/reporting/5e6f7g8h9i0j/page/billing?config=secure,financials,"partner,senior-manager,admin",Detailed time tracking and billing analysis
Practice Area Profitability,https://lookerstudio.google.com/embed/reporting/6f7g8h9i0j1k/page/profitability,https://lookerstudio.google.com/embed/reporting/6f7g8h9i0j1k/page/profitability?config=secure,financials,"partner,admin",Profitability analysis across practice areas
Client Retention Dashboard,https://lookerstudio.google.com/embed/reporting/7g8h9i0j1k2l/page/retention,https://lookerstudio.google.com/embed/reporting/7g8h9i0j1k2l/page/retention?config=secure,client_relations,"partner,senior-manager,admin",Client retention rates and patterns
Litigation Case Pipeline,https://lookerstudio.google.com/embed/reporting/8h9i0j1k2l3m/page/litigation,https://lookerstudio.google.com/embed/reporting/8h9i0j1k2l3m/page/litigation?config=secure,operations,"partner,senior-manager,associate,admin",Litigation case status and pipeline management
Document Management Metrics,https://lookerstudio.google.com/embed/reporting/9i0j1k2l3m4n/page/documents,https://lookerstudio.google.com/embed/reporting/9i0j1k2l3m4n/page/documents?config=secure,operations,"partner,senior-manager,associate,paralegal,admin",Document creation and management analytics
Resource Utilization,https://lookerstudio.google.com/embed/reporting/0j1k2l3m4n5o/page/resources,https://lookerstudio.google.com/embed/reporting/0j1k2l3m4n5o/page/resources?config=secure,hr_analytics,"partner,senior-manager,admin",Staff and resource utilization metrics
Compliance Monitoring,https://lookerstudio.google.com/embed/reporting/1k2l3m4n5o6p/page/compliance,https://lookerstudio.google.com/embed/reporting/1k2l3m4n5o6p/page/compliance?config=secure,governance,"partner,admin",Regulatory compliance and risk monitoring
Business Development Pipeline,https://lookerstudio.google.com/embed/reporting/2l3m4n5o6p7q/page/bizdev,https://lookerstudio.google.com/embed/reporting/2l3m4n5o6p7q/page/bizdev?config=secure,business_development,"partner,senior-manager,admin",New business opportunities and pipeline
Financial Forecasting,https://lookerstudio.google.com/embed/reporting/3m4n5o6p7q8r/page/forecast,https://lookerstudio.google.com/embed/reporting/3m4n5o6p7q8r/page/forecast?config=secure,financials,"partner,admin",Financial projections and forecasting models
Marketing ROI Dashboard,https://lookerstudio.google.com/embed/reporting/4n5o6p7q8r9s/page/marketing,https://lookerstudio.google.com/embed/reporting/4n5o6p7q8r9s/page/marketing?config=secure,business_development,"partner,senior-manager,admin",Marketing campaign effectiveness and ROI
Office Space Analytics,https://lookerstudio.google.com/embed/reporting/5o6p7q8r9s0t/page/office,https://lookerstudio.google.com/embed/reporting/5o6p7q8r9s0t/page/office?config=secure,operations,"partner,admin",Office space utilization and planning
Technology Usage Metrics,https://lookerstudio.google.com/embed/reporting/6p7q8r9s0t1u/page/tech,https://lookerstudio.google.com/embed/reporting/6p7q8r9s0t1u/page/tech?config=secure,operations,"partner,senior-manager,admin",Technology adoption and usage patterns
Training & Development,https://lookerstudio.google.com/embed/reporting/7q8r9s0t1u2v/page/training,https://lookerstudio.google.com/embed/reporting/7q8r9s0t1u2v/page/training?config=secure,hr_analytics,"partner,senior-manager,admin",Staff training progress and effectiveness
Vendor Management,https://lookerstudio.google.com/embed/reporting/8r9s0t1u2v3w/page/vendors,https://lookerstudio.google.com/embed/reporting/8r9s0t1u2v3w/page/vendors?config=secure,operations,"partner,senior-manager,admin",Vendor performance and cost analysis
Court Calendar Dashboard,https://lookerstudio.google.com/embed/reporting/9s0t1u2v3w4x/page/calendar,https://lookerstudio.google.com/embed/reporting/9s0t1u2v3w4x/page/calendar?config=secure,operations,"partner,senior-manager,associate,paralegal,admin",Court dates and calendar management
Conflict Check Analytics,https://lookerstudio.google.com/embed/reporting/0t1u2v3w4x5y/page/conflicts,https://lookerstudio.google.com/embed/reporting/0t1u2v3w4x5y/page/conflicts?config=secure,governance,"partner,senior-manager,admin",Conflict checking patterns and resolution
Risk Assessment Dashboard,https://lookerstudio.google.com/embed/reporting/1u2v3w4x5y6z/page/risk,https://lookerstudio.google.com/embed/reporting/1u2v3w4x5y6z/page/risk?config=secure,governance,"partner,admin",Legal and business risk assessment metrics
