ProjectID,DuplicateOf,Reason,ArchiveAction,CompletionScore,DataQuality,Owner
RECON-2,,"Legacy RECON identifier - incomplete migration artifact","ARCHIVE_IMMEDIATE",25,"Poor - fragmented data",""
RECON-4,,"Legacy RECON identifier - incomplete migration artifact","ARCHIVE_IMMEDIATE",20,"Poor - missing fields",""
RECON-6,,"Legacy RECON identifier - incomplete migration artifact","ARCHIVE_IMMEDIATE",18,"Poor - malformed content",""
RECON-9,,"Legacy RECON identifier - incomplete migration artifact","ARCHIVE_IMMEDIATE",15,"Poor - technical debt notes",""
RECON-12,,"Legacy RECON identifier - incomplete migration artifact","ARCHIVE_IMMEDIATE",12,"Poor - fragmented enhancement notes",""
RECON-15,RECON-15,"Legacy RECON identifier - incomplete migration artifact","ARCHIVE_IMMEDIATE",10,"Poor - dependency fragments","Gizmo"
RECON-17,WT-UX12,"Duplicate of Design Principles project","MERGE_INTO_WT-UX12",8,"Poor - duplicate content",""
RECON-19,,"Legacy RECON identifier - incomplete migration artifact","ARCHIVE_IMMEDIATE",5,"Poor - incomplete wireframe fragment",""
"Agent Mesh Visualisation (Integrate Surface)",WT-UX7,"Likely duplicate - similar naming pattern","MERGE_INTO_WT-UX7",25,"Fair - partial data overlap",""
"To create a live",,"Incomplete project name - migration artifact","ARCHIVE_IMMEDIATE",20,"Poor - incomplete metadata",""
"• Show directional capabilities (read",,"Incomplete bullet point - migration artifact","ARCHIVE_IMMEDIATE",15,"Poor - partial content fragment",""
"write",,"Single word project - migration artifact","ARCHIVE_IMMEDIATE",10,"Poor - invalid project entry",""
"• Clarify runtime agent orchestration",,"Incomplete bullet point - migration artifact","ARCHIVE_IMMEDIATE",12,"Poor - partial content fragment",""
"dispatch)",,"Incomplete parenthetical - migration artifact","ARCHIVE_IMMEDIATE",8,"Poor - invalid content",""
"• Support debugging",,"Incomplete bullet point - migration artifact","ARCHIVE_IMMEDIATE",10,"Poor - partial content fragment",""
"governance",,"Single word project - migration artifact","ARCHIVE_IMMEDIATE",5,"Poor - invalid project entry",""
"and future system design",,"Incomplete phrase - migration artifact","ARCHIVE_IMMEDIATE",8,"Poor - partial content fragment",""
"AI Integration – NotionGPT Connection",,"Standalone project with minimal structure","REVIEW_FOR_MERGE",39,"Fair - basic completion data",""
"CI/CD Implementation",,"Standalone project with minimal structure","REVIEW_FOR_MERGE",36,"Fair - basic completion data",""
